text,label
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions ",positive
"NAVTEQ has a commanding lead in installed map data systems in North American vehicles and may be the leader in turn-by-turn navigation data offered by services such as OnStar in North America , said analyst Phil Magney of Telematics Research Group in Minnetonka , Minn. ",positive
"The gross area of eight houses will be 12,167 m2 ",neutral
"The original name Componenta +�m+�l , as a subsidiary of the Finnish Componenta Group , has been changed to +�m+�l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 ",positive
The value of the orders is over EUR 25mn ,neutral
"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses ",neutral
The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line ,neutral
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 ",neutral
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout ,positive
"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F ",positive
"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai ",neutral
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % ",positive
The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country ,neutral
Eriikka S+�derstr+�m has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks ,neutral
"Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer ",neutral
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur ",positive
The optimization of the steel components heating process will reduce the energy consumption ,positive
"To see more of New Haven Register , or to subscribe to the newspaper ",neutral
"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) ",neutral
"Together with Latvia , Cramo will operate 54 rental outlets in the Baltic States ",neutral
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 ,neutral
Sales by Seppala diminished by 6 per cent ,negative
"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) ",positive
"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market ",neutral
Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates ,positive
Delivery is expected to take place later this month ,neutral
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year ",negative
"Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros ",neutral
The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 ,positive
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction ",neutral
IonPhasE 's second major owner is venture capital firm Aura Capital ,neutral
"The Finnish investment company Sponda is conducting negotiations to acquire the business center Dukat Palace-2 located in the center of Moscow , from London & Regional Properties ",neutral
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 ,positive
A huge issue for us is the button placement ,neutral
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate ,negative
"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let ",neutral
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor ",neutral
The enterprise value of Maritim Food AS has been determined as approximately EUR15m ,neutral
"The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities ",neutral
"The company designs and manufactures high-quality clothing , interior decoration textiles , bags , and other accessories ",neutral
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies ",negative
The value of the orders is about EUR 25mn ,neutral
"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj ",positive
Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India ,positive
"LCS 's services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support ",neutral
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars ",positive
`` The issues identified by Stonesoft affect a range of content inspection technology ,neutral
"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well ",neutral
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 ",neutral
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably ,positive
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 ",positive
"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland ",neutral
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process ,neutral
"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said ",neutral
"The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry ",neutral
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 ,positive
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws ,neutral
"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 ",neutral
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. ",neutral
Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 ,negative
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur ",neutral
` Nordic infrastructure construction is one of our strategic growth areas ,neutral
"This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : ",neutral
Why not subscribe to the magazine ,neutral
The category was marked by maturity and the recession ,neutral
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said ",neutral
"For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year ",positive
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 ",positive
"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications ",neutral
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased ",positive
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 ",positive
"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) ",neutral
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million ,positive
"In addition , MIDs are always online and enable full Internet browsing ",neutral
All depends on financing ,neutral
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense ",neutral
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak ",positive
"Global Markets Direct 's Pohjola Bank plc - Financial Analysis Review is an in-depth business , financial analysis of Pohjola Bank plc. ",neutral
"Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date ",neutral
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project ",negative
"`` The biggest challenge was to make the piece look raw , '' Hansen said ",neutral
"The most important export markets are Norway , Germany , Russia and France ",neutral
"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies ",negative
"Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity ",neutral
"( ADP News ) - Nov 3 , 2008 - Finnish paper , packaging and forest products company Stora Enso Oyj ( OMX : STERV ) said today that it would invest EUR 137 million ( USD 176.6 m ) in the building of a power plant at its Ostroleka M",neutral
"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries ",neutral
"The interim report for the first quarter is published on May 8 , 2009 ",neutral
The Group also has a strong global position in other fishing categories ,positive
"As the largest elevator market in the world , Chinese output of elevators continued to rise to 262,000 units in 2009 , up about 5 % yr-on-yr ",positive
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULT,negative
"According to the company , its operating profit , excluding non-recurring items , in the fourth quarter of 2009 was significantly better than expected , and also better than the figures for the fourth quarter of 2008 ",positive
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 ",negative
"In 2006 , the company intends to invest significantly in expanding its distribution and maintenance network ",positive
"Atria will launch a campaign in September to promote the CampoMos brand on the Moscow market , he said ",positive
"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur ",positive
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 ",positive
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % ,neutral
Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor ,neutral
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year ",positive
No financial details were available ,neutral
Sports equipment sales also progressed well owing to the prolonged winter season ,positive
"Tiimari 's registered share capital is 16,474,755 shares as per today ",neutral
"The orange-handled scissors from Fiskars are part of the permanent design collection of the Museum of Modern Art in New York , as well as the Philadelphia Museum of Art ",neutral
`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients ,positive
"Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 ",neutral
It was decided that the auditors are reimbursed according to invoice ,neutral
"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago ",negative
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 ",negative
"Body The credit falls due February 24 , 2014 ",neutral
Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 ,neutral
"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added ",neutral
"According to Sepp+�nen , the new technology UMTS900 solution network building costs are by one-third lower than that of the building of 3.5 G networks , operating at 2,100 MHz frequency ",positive
That would be an increase from estimated sales of 117 million last year ,positive
Industry Investment is very interested in Glaston 's solar energy projects ,positive
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period ",positive
"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly ",neutral
"In addition to the demand in Finland , the export of lining stone products also increased ",positive
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 ,neutral
Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 ,neutral
"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson ",neutral
"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) ",neutral
Group net sales in the third quarter of 2007 totaled EUR 142.3 mn and operating profit EUR 4.3 mn ,neutral
Okmetic 's silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life ,neutral
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi ,neutral
The estimated value of the deal is USD 9.2 million ,neutral
The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress ,neutral
Our standardised services have met with a positive reception among our customers as well as at Itella ,positive
"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan ",positive
"Sampo Group that has become a major shareholder in Nordea owns TrygVesta 's main competitor , If P & C Insurance ",neutral
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 ,neutral
"Most of the new substations support EDGE technology , which enables faster data traffic ",neutral
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT ,negative
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics ",neutral
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others ",neutral
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said ",neutral
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits ",positive
"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland ",positive
"The mill 's raw material need will increase by 100,000 m3 of wood ",neutral
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo ",neutral
"The orders consist in total of over 1,600 panels of lift-away weatherdeck hatch covers and they will be delivered for container vessels with capacities ranging from 2,000 to 13,300 TEUs ",neutral
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn ,positive
The company expects net sales to significantly increase from 2009 ,positive
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized ",neutral
"He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October ",neutral
"In addition , the production at the Varpaisj+� rvi factory will be stopped at the beginning of April 2009 ",negative
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today ",negative
Clothing chain Sepp+�l+� 's net sales increased by 7.0 % to EUR 30.8 mn ,positive
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector ",neutral
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below ",neutral
"Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors ",neutral
Affecto has participated in the program for the development of the Norwegian pension system since 2007 ,neutral
Production is scheduled to start by the end of April 2007 ,neutral
Arena Partners Oy is a development company for electronic business ,neutral
`` Russia is ready to participate in an open tender for Lattelecom 's privatization ,neutral
This wood lacquered clock comes with a stripy hand-crocheted cover ,neutral
The total need for staff cuts corresponds to about 300 man-years ,negative
"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares ",neutral
